Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FMST,Foremost Lithium Resource & Technology Ltd. Common stock,$2.9704,-0.0596,-1.967%,16290559.00,Canada,,2387,Basic Materials,Other Metals and Minerals
FMSTW,Foremost Lithium Resource & Technology Ltd. Warrant,$0.3135,-0.0895,-22.208%,1719327.00,Canada,,700,Basic Materials,Other Metals and Minerals
FNV,Franco-Nevada Corporation,$125.01,3.64,2.999%,24055261392.00,Canada,,536923,Basic Materials,Precious Metals
FSM,Fortuna Mining Corp. Common Shares,$4.72,0.37,8.506%,1478921513.00,Canada,,9530265,Basic Materials,Precious Metals
FURY,Fury Gold Mines Limited Common Shares,$0.4076,0.0149,3.794%,59541027.00,,2020,107852,Basic Materials,Precious Metals
GATO,Gatos Silver Inc. Common Stock,$14.58,1.54,11.81%,1010995090.00,United States,2020,1940770,Basic Materials,Precious Metals
GFI,Gold Fields Limited American Depositary Shares,$14.01,0.46,3.395%,12518506790.00,South Africa,,3951147,Basic Materials,Precious Metals
GLDG,GoldMining Inc. Common Shares,$0.9863,0.0054,0.551%,186139848.00,,,1853652,Basic Materials,Precious Metals
GLT,Glatfelter Corporation Common Stock,$1.50,0.00,0.00%,68095698.00,United States,2000,160995,Basic Materials,Paper
GOLD,Barrick Gold Corporation Common Stock (BC),$20.58,0.82,4.15%,36071273540.00,Canada,,23202060,Basic Materials,Precious Metals
GORO,Gold Resource Corporation Common Stock,$0.3466,0.0031,0.902%,32415082.00,United States,,1268259,Basic Materials,Precious Metals
GROY,Gold Royalty Corp. Common Shares,$1.24,0.04,3.333%,209648557.00,Canada,2021,2102627,Basic Materials,Precious Metals
GSM,Ferroglobe PLC Ordinary Shares,$4.14,-0.11,-2.588%,777844285.00,United Kingdom,,803497,Basic Materials,Metal Mining
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),$7.20,0.24,3.448%,2833937129.00,Canada,,3519582,Basic Materials,Metal Mining
HMY,Harmony Gold Mining Company Limited,$9.52,0.73,8.305%,5884045173.00,South Africa,,7114801,Basic Materials,Precious Metals
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$2.26,0.19,9.179%,54290061.00,United States,2018,448171,Basic Materials,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.0228,-0.002,-8.065%,547705.00,United States,,9349,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.0158,0.00,0.00%,379550.00,United States,2018,2217,Basic Materials,Precious Metals
IAG,Iamgold Corporation Ordinary Shares,$5.35,0.41,8.30%,3051105000.00,Canada,,8440265,Basic Materials,Precious Metals
