Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TPET,Trio Petroleum Corp. Common Stock,$0.2097,0.0111,5.589%,10553850.00,,2023,1219524,Energy,Oil & Gas Production
TPL,Texas Pacific Land Corporation Common Stock,$794.69,5.44,0.689%,18262468908.00,United States,,43913,Energy,Oil & Gas Production
TTE,TotalEnergies SE,$67.33,0.97,1.462%,154964768091.00,France,,1246182,Energy,Oil & Gas Production
TTI,Tetra Technologies Inc. Common Stock,$2.84,0.06,2.158%,373314564.00,United States,,1379859,Energy,Oil & Gas Production
TUSK,Mammoth Energy Services Inc. Common Stock,$3.57,-0.03,-0.833%,171814707.00,United States,2016,57319,Energy,Oilfield Services/Equipment
TXO,TXO Partners L.P. Common Units Representing Limited Partner Interests,$18.25,0.13,0.717%,701043309.00,,2023,49747,Energy,Oil & Gas Production
USEG,U.S. Energy Corp. Common Stock (DE),$0.9399,0.0399,4.433%,26366976.00,United States,,43255,Energy,Oil & Gas Production
VAL,Valaris Limited Common Shares,$54.42,-0.04,-0.073%,3959093529.00,United States,2021,1533882,Energy,Oil & Gas Production
VET,Vermilion Energy Inc. Common (Canada),$9.20,0.05,0.546%,1447160000.00,Canada,,1051639,Energy,Oil & Gas Production
VIST,Vista Energy S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,$46.64,1.01,2.213%,4447377348.00,Mexico,2019,409910,Energy,Oil & Gas Production
VLO,Valero Energy Corporation Common Stock,$134.12,1.22,0.918%,42969431185.00,United States,,2507197,Energy,Integrated oil Companies
VNOM,Viper Energy Inc. Class A Common Stock,$43.35,-1.78,-3.944%,7928455594.00,United States,2014,7378354,Energy,Oil & Gas Production
VOC,VOC Energy Trust Units of Beneficial Interest,$4.73,0.14,3.05%,80410000.00,United States,2011,28375,Energy,Oil & Gas Production
VRN,Veren Inc. Common shares,$6.35,0.11,1.763%,3916972545.00,Canada,,4827891,Energy,Oil & Gas Production
VTLE,Vital Energy Inc. Common Stock par value $0.01 per share,$26.43,-0.29,-1.085%,2185760234.00,United States,2011,1181280,Energy,Oil & Gas Production
VTNR,Vertex Energy Inc Common Stock,$0.3487,0.0226,6.93%,32608452.00,United States,,896292,Energy,Integrated oil Companies
VTS,Vitesse Energy Inc. Common Stock,$24.27,0.29,1.209%,716081593.00,United States,2023,162743,Energy,Oil & Gas Production
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,$16.24,0.60,3.836%,30835696281.00,Australia,2022,1479233,Energy,Oil & Gas Production
WKC,World Kinect Corporation Common Stock,$27.96,-0.06,-0.214%,1652265332.00,United States,,784714,Energy,Oil Refining/Marketing
WTI,W&T Offshore Inc. Common Stock,$1.94,-0.03,-1.523%,285533561.00,United States,2005,1538854,Energy,Oil & Gas Production
WTTR,Select Water Solutions Inc. Class A common stock,$10.47,0.13,1.257%,1246109173.00,United States,2017,676254,Energy,Oilfield Services/Equipment
WWD,Woodward Inc. Common Stock,$167.24,2.40,1.456%,9977408789.00,United States,,352458,Energy,Industrial Machinery/Components
XOM,Exxon Mobil Corporation Common Stock,$111.23,1.51,1.376%,494175600493.00,United States,,15919470,Energy,Integrated oil Companies
XPRO,Expro Group Holdings N.V. Common Stock,$17.23,-0.34,-1.935%,2085715484.00,United States,2013,1103233,Energy,Oilfield Services/Equipment
YPF,YPF Sociedad Anonima Common Stock,$23.11,0.29,1.271%,9089458646.00,Argentina,1993,1395899,Energy,Integrated oil Companies
