Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,$19.33,0.38,2.005%,8917778979.00,Canada,2021,25343,Utilities,Oil & Gas Production
BIPJ,Brookfield Infrastructure Corporation 7.250% Subordinated Notes due 2084,$26.00,0.11,0.425%,11994943272.00,Canada,2024,5821,Utilities,Oil & Gas Production
BKH,Black Hills Corporation Common Stock,$59.39,-0.18,-0.302%,4142360921.00,United States,,247967,Utilities,Electric Utilities: Central
CDZI,CADIZ Inc. Common Stock,$3.13,0.14,4.682%,212514984.00,United States,,172661,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$15.09,-0.02,-0.132%,1024553069.00,United States,,2073,Utilities,Water Supply
CEG,Constellation Energy Corporation Common Stock ,$189.93,2.68,1.431%,59389036964.00,United States,,2154488,Utilities,Electric Utilities: Central
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),$10.15,0.08,0.794%,1536732594.00,,2018,338185,Utilities,Electric Utilities: Central
CGBS,Crown LNG Holdings Limited Ordinary Shares,$0.3379,-0.0196,-5.483%,23308134.00,Jersey,,430789,Utilities,Oil/Gas Transmission
CGBSW,Crown LNG Holdings Limited Warrants,$0.0128,-0.0056,-30.435%,882936.00,Jersey,,66310,Utilities,Oil/Gas Transmission
CIEN,Ciena Corporation Common Stock,$54.53,1.23,2.308%,7875615216.00,United States,1997,1330759,Utilities,Telecommunications Equipment
CIG,Comp En De Mn Cemig ADS American Depositary Shares,$2.07,0.00,0.00%,5923886745.00,Brazil,,570101,Utilities,Electric Utilities: Central
CLFD,Clearfield Inc. Common Stock,$38.25,0.73,1.946%,544601320.00,United States,,66087,Utilities,Telecommunications Equipment
CLNE,Clean Energy Fuels Corp. Common Stock,$2.93,0.07,2.448%,654642282.00,United States,2007,1022672,Utilities,Natural Gas Distribution
CLRO,ClearOne Inc. (DE) Common Stock,$0.585,-0.005,-0.847%,14021952.00,United States,,22970,Utilities,Telecommunications Equipment
