Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A448740,삼성스팩8호,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,기타 금융 지원 서비스업,그 외 기타 금융 지원 서비스업
A080720,한국유니온제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A153490,우리이앤엘,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업"
A131100,티엔엔터테인먼트,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물, 방송프로그램 제작 및 배급업"
A247660,나노씨엠에스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,기타 전자부품 제조업
A065170,비엘팜텍,도매 및 소매업,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,신선식품 및 단순 가공식품 도매업,기타 신선식품 및 단순 가공식품 도매업
A290720,푸드나무,도매 및 소매업,소매업; 자동차 제외,무점포 소매업,통신 판매업,전자상거래 소매업
A036690,코맥스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,방송 및 무선 통신장비 제조업
A274400,이노시뮬레이션,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
A424980,마이크로투나노,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,반도체 제조업,반도체 제조업
A032960,동일기연,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A036180,지더블유바이텍,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,기타 기계 및 장비 도매업,기타 기계 및 장비 도매업
A246690,TS인베스트먼트,금융 및 보험업,금융업,신탁업 및 집합투자업,신탁업 및 집합투자업,기타 금융 투자업
A153460,네이블,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A290120,DH오토리드,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A049830,승일,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업
A128540,에코캡,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업
A088800,에이스테크,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,방송 및 무선 통신장비 제조업
A052600,한네트,정보통신업,우편 및 통신업,전기 통신업,기타 전기 통신업,그 외 기타 전기 통신업
A024120,KB오토시스,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A143210,핸즈코퍼레이션,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A279600,미디어젠,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A434480,모니터랩,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
A405000,플라즈맵,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
A023150,MH에탄올,제조업,음료 제조업,알코올음료 제조업,증류주 및 합성주 제조업,주정 제조업
A222980,한국맥널티,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A012200,계양전기,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,기타 일반 목적용 기계 제조업,동력식 수지공구 제조업
A119650,KC코트렐,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,일반 목적용 기계 제조업,일반 목적용 기계 제조업
A056360,코위버,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,유선 통신장비 제조업,유선 통신장비 제조업
A066360,체리부로,제조업,식료품 제조업,"도축, 육류 가공 및 저장 처리업",육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업
