Ticker,Stockholders Equity
ZOM,240017000.0
ABBV,10360000000.0
ABT,38603000000.0
ADCT,-148249000.0
AGL,661839000.0
ALC,20624000000.0
ALUR,-70487000.0
ANRO,-71672000.0
ANVS,-7750846.0
AORT,281780000.0
ARDT,0.0
ATIP,-101000000.0
AUNA,1465285000.0
AVNS,1236300000.0
BAX,8402000000.0
BDX,25797000000.0
BFLY,220053000.0
BHC,-1022000000.0
BHVN,427975000.0
BKD,403664000.0
BKDT,403664000.0
BLCO,6850000000.0
BMY,29430000000.0
BSX,19281000000.0
BTI,52566000000.0
CAH,-3213000000.0
CCM,-2121945000.0
CDRE,197162000.0
CHE,1107876000.0
CI,46223000000.0
CNC,25840000000.0
CNMD,834222000.0
CON,0.0
COR,522003000.0
CRL,3596882000.0
CTLT,4611000000.0
CYH,-1392000000.0
DGX,6307000000.0
DNA,1097152000.0
DVA,1056097000.0
EBS,649300000.0
EHAB,669700000.0
EHC,1647500000.0
ELAN,6223000000.0
ELV,39306000000.0
ENOV,3418392000.0
ENZ,78462000.0
EW,6650000000.0
FMS,13620261000.0
FNA,177741000.0
GKOS,461766000.0
GMED,3997959000.0
GSK,13347000000.0
HAE,959959000.0
HCA,-1774000000.0
HIMS,344029000.0
HLF,-1060300000.0
HUM,16262000000.0
INSP,572514000.0
IQV,6112000000.0
ITGR,1519042000.0
JNJ,68774000000.0
LH,7875000000.0
LLY,10771900000.0
MCK,-1971000000.0
MD,849061000.0
MDT,50214000000.0
MMM,4807000000.0
MO,-3540000000.0
MOH,4215000000.0
MRK,37581000000.0
MSA,966802000.0
NEUE,-343526000.0
NUS,821968000.0
NUVB,605122000.0
NVO,106561000000.0
NVRO,293145000.0
NVS,46667000000.0
NVST,4173900000.0
OGN,-70000000.0
OMI,924166000.0
OSCR,803967000.0
PACS,96126000.0
PBH,1655084000.0
PEN,1178944000.0
PFE,89014000000.0
PHG,12028000000.0
PM,-11225000000.0
PRGO,4767900000.0
PRKS,-208216000.0
QGEN,3807764000.0
RBOT,97969000.0
RCUS,462000000.0
RDY,280550000000.0
RLX,15609393000.0
RMD,4864043000.0
SEM,1288304000.0
SNDA,-66549000.0
SNN,5217000000.0
SOLV,3409000000.0
STE,6302164000.0
STVN,1132531000.0
SYK,18593000000.0
TAK,7273264000000.0
TDOC,2326073000.0
TEVA,7506000000.0
TFX,4440988000.0
THC,1608000000.0
UHS,6149001000.0
ULS,654000000.0
UNH,88756000000.0
USNA,497202000.0
USPH,476194000.0
VGR,-741814000.0
WRBY,301787000.0
WST,2881000000.0
ZBH,12480500000.0
ZTS,4997000000.0
