Symbol,Company,지배주주지분(천원),매출액(직전4분기)(천원),지배주주순이익(직전4분기)(천원),총자본(천원),매출액(직전4분기)(천원),당기순이익(직전4분기)(천원)
A035250,강원랜드,"3,579,561,289","1,398,822,303","332,197,427","3,572,469,464","1,397,732,400","328,323,821"
A361610,SK아이이테크놀로지,"2,396,531,116","552,866,470","13,783,059","1,985,154,137","281,568,065","-46,124,384"
A263750,펄어비스,"744,895,825","333,167,721","18,613,624","785,918,626","258,204,819","58,825,976"
A002380,KCC,"5,605,468,884","6,311,871,577","676,710,353","5,881,861,011","3,062,159,101","1,060,739,272"
A175330,JB금융지주,"5,038,217,000","3,506,004,000","595,831,000","2,210,424,000","13,548,000","207,109,000"
A141080,리가켐바이오,"627,738,115","57,543,441","-46,543,034","630,374,510","57,543,441","-48,187,044"
A145020,휴젤,"720,610,705","329,625,776","97,505,883","563,398,062","244,791,717","66,604,883"
A052690,한전기술,"533,096,538","564,266,505","32,446,837","533,095,728","564,266,505","32,446,027"
A138930,BNK금융지주,"10,384,935,136","6,850,803,418","632,548,986","5,373,484,811","992,259","260,832,733"
A004370,농심,"2,484,782,926","3,422,708,138","170,775,014","2,183,763,573","2,649,924,433","114,860,282"
A088350,한화생명,"12,290,356,812","10,032,616,442","509,676,052","10,659,381,064","4,685,347,617","320,881,007"
A001440,대한전선,"1,423,998,404","2,928,597,593","82,283,937","1,417,358,646","2,678,021,789","73,772,515"
A257720,실리콘투,"161,479,247","434,776,171","57,222,008","144,380,714","400,483,753","46,817,304"
A004990,롯데지주,"6,982,521,128","15,448,980,451","-89,710,583","4,902,980,732","306,720,091","-68,352,989"
A002790,아모레G,"3,330,787,150","4,018,970,343","107,785,664","2,114,943,384","50,125,696","39,684,023"
A039030,이오테크닉스,"562,328,120","305,340,254","33,650,707","531,361,887","270,435,594","65,438,481"
A081660,휠라홀딩스,"1,969,266,226","4,080,650,679","52,859,564","506,153,059","52,870,123","21,435,600"
A383220,F&F,"1,318,736,382","1,988,119,910","402,143,139","1,272,550,041","1,682,621,050","389,387,599"
A000990,DB하이텍,"1,760,473,604","1,140,143,654","235,775,198","1,744,921,893","1,022,004,219","221,893,970"
A018880,한온시스템,"2,417,445,681","9,623,611,338","15,387,068","2,563,011,412","3,535,916,443","16,265,783"
A008930,한미사이언스,"807,932,241","1,276,795,731","120,139,738","507,752,074","191,432,043","36,721,540"
A007070,GS리테일,"4,040,219,221","11,749,313,332","36,706,031","4,084,951,524","11,010,335,397","-6,809,724"
A012750,에스원,"1,547,967,375","2,651,002,618","182,063,485","1,504,791,542","2,611,985,165","177,074,939"
A357780,솔브레인,"925,659,766","811,747,500","130,938,739","880,472,494","762,916,622","135,149,356"
A000880,한화,"10,200,720,000","51,323,194,000","-146,265,000","3,440,672,404","7,241,476,257","175,110,097"
A112610,씨에스윈드,"860,621,738","1,906,390,553","-26,614,089","865,545,641","335,911,028","17,582,766"
A012510,더존비즈온,"498,262,867","366,577,100","48,079,297","421,771,067","337,383,680","41,609,527"
A000120,CJ대한통운,"3,440,541,231","11,881,499,854","229,444,817","3,269,188,755","8,192,021,622","222,259,291"
A035900,JYP Ent.,"407,355,370","584,954,848","95,677,735","354,871,343","497,050,502","118,918,547"
A030000,제일기획,"1,238,751,433","4,214,683,895","190,274,931","513,995,485","1,259,667,117","27,637,413"
A014680,한솔케미칼,"854,767,398","772,275,124","109,001,749","754,700,324","571,264,371","105,088,218"
A008770,호텔신라,"606,887,587","3,797,152,770","31,159,312","534,529,163","2,347,632,265","25,979,092"
A020150,롯데에너지머티리얼즈,"1,441,363,652","887,072,431","-3,172,195","621,400,894","353,773,718","41,352,192"
A028670,팬오션,"4,960,742,000","4,340,058,000","192,309,000","4,898,438,000","3,735,384,000","173,017,000"
A089030,테크윙,"203,569,521","145,321,216","-11,334,035","204,318,906","121,064,664","-12,624,979"
A204320,HL만도,"2,391,923,859","8,503,687,702","235,928,505","1,910,457,091","2,743,109,987","61,445,875"
A005290,동진쎄미켐,"849,744,033","1,297,883,897","123,919,185","736,351,502","964,974,497","137,286,567"
A009420,한올바이오파마,"178,204,797","140,199,172","4,438,848","178,878,299","140,199,172","5,452,486"
A026960,동서,"1,583,912,760","485,816,741","157,887,602","1,583,912,053","447,397,679","157,887,602"
A078600,대주전자재료,"161,556,744","193,788,073","7,568,640","157,942,330","141,160,458","8,605,025"
A005850,에스엘,"2,023,115,508","4,873,850,799","361,791,426","1,685,581,628","2,650,471,005","213,632,358"
A282330,BGF리테일,"1,026,472,240","8,299,012,515","191,541,183","986,846,728","8,243,328,083","179,392,339"
A240810,원익IPS,"844,214,239","653,813,192","-29,258,128","841,451,112","653,778,629","-29,101,251"
A017800,현대엘리베이,"1,155,080,920","2,712,056,015","101,636,080","1,156,850,771","1,911,904,666","40,213,021"
A237690,에스티팜,"390,042,121","286,068,551","22,026,930","397,462,440","251,860,700","24,658,179"
A023530,롯데쇼핑,"9,402,590,901","14,507,579,307","196,038,806","9,356,792,640","8,641,449,796","264,517,807"
A007310,오뚜기,"1,956,242,221","3,481,340,125","167,621,760","1,641,971,485","2,898,143,558","127,205,692"
A041510,에스엠,"690,171,729","977,223,570","78,007,654","508,524,860","627,469,415","62,750,140"
A103140,풍산,"1,983,041,614","4,043,904,550","139,100,914","1,983,041,614","3,044,476,537","138,966,012"
A047040,대우건설,"4,096,407,799","11,527,020,575","503,012,331","3,170,220,477","10,410,321,887","206,277,465"
A051600,한전KPS,"1,225,173,760","1,525,587,539","160,221,304","1,217,937,312","1,504,671,438","157,833,023"
A035760,CJ ENM,"3,255,061,927","4,573,517,853","-262,333,949","3,297,584,237","2,653,238,903","58,021,068"
A192820,코스맥스,"387,621,729","1,901,035,770","69,671,924","338,739,305","1,129,550,081","24,470,917"
A087010,펩트론,,,,"32,096,367","2,655,759","-15,940,895"
A111770,영원무역,"3,294,134,033","3,473,537,253","466,382,609","1,762,212,190","1,903,352,650","254,265,367"
A178320,서진시스템,"543,813,664","915,353,406","1,436,160","410,280,865","424,587,509","25,462,828"
A280360,롯데웰푸드,"2,076,784,574","4,057,849,131","90,979,613","2,025,377,392","3,287,236,234","73,330,611"
A018670,SK가스,"2,549,164,186","6,568,314,334","180,778,470","2,357,324,001","4,734,110,882","275,445,832"
A039200,오스코텍,"93,010,026","4,864,226","-24,445,483","114,199,422","4,289,698","-14,262,196"
A139480,이마트,"11,640,607,764","29,543,571,606","-72,765,235","10,708,887,179","15,217,956,913","263,261,971"
A293490,카카오게임즈,"1,432,724,323","1,022,202,057","-230,037,189","1,023,426,221","689,755,805","-455,554,055"
A073240,금호타이어,"1,381,890,034","4,087,000,898","229,390,409","794,247,819","3,129,537,356","274,579,219"
A010060,OCI홀딩스,"3,880,452,648","2,794,895,674","675,355,471","2,402,504,564","540,108,776","683,070,545"
A042670,HD현대인프라코어,"1,836,065,585","4,529,108,684","185,803,942","1,853,252,218","4,060,108,698","322,035,228"
A004170,신세계,"4,341,276,353","6,398,409,085","221,635,218","4,186,395,974","1,950,561,957","206,573,799"
A298050,효성첨단소재,"685,412,465","3,204,684,329","22,707,680","815,833,685","634,672,293","86,102,176"
A006360,GS건설,"4,332,254,986","12,994,917,142","-484,730,716","4,278,711,992","9,309,558,606","-516,448,704"
A036930,주성엔지니어링,"528,441,521","272,611,832","39,671,767","527,454,670","272,571,388","39,878,037"
A065350,신성델타테크,"207,897,386","825,040,620","9,778,461","223,390,723","155,399,242","11,984,932"
A011210,현대위아,"3,432,364,000","8,636,878,000","111,542,000","3,192,863,000","7,289,711,000","93,569,000"
A006280,녹십자,"1,261,892,442","1,633,971,650","-29,491,443","1,227,204,415","1,211,404,981","10,461,202"
