symbol,company,outstandingshares,treasuryshares,shares,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni,eps,bps,sps
A004370,농심,6082642,300019,5782623,2484782926,3422708138,170775014,2183763573,2649924433,114860282,19863.00715,377642.3905,458256.4751
A088350,한화생명,868530000,117139750,751390250,12290356812,10032616442,509676052,10659381064,4685347617,320881007,427.0497348,14186.21158,6235.571485
A001440,대한전선,186447300,772087,185675213,1423998404,2928597593,82283937,1417358646,2678021789,73772515,397.320212,7633.537202,14423.15183
A257720,실리콘투,60873234,0,60873234,161479247,434776171,57222008,144380714,400483753,46817304,769.0950673,2371.825916,6578.979408
A004990,롯데지주,104909237,34103937,70805300,6982521128,15448980451,-89710583,4902980732,306720091,-68352989,-965.3654317,69245.95662,4331.880396
A002790,아모레G,82458180,6195001,76263179,3330787150,4018970343,107785664,2114943384,50125696,39684023,520.3562652,27732.1692,657.2725745
A039030,이오테크닉스,12319550,217397,12102153,562328120,305340254,33650707,531361887,270435594,65438481,5407.176806,43906.3931,22346.07297
A081660,휠라홀딩스,60095839,298864,59796975,1969266226,4080650679,52859564,506153059,52870123,21435600,358.472983,8464.526157,884.1604947
A383220,F&F,38307075,457961,37849114,1318736382,1988119910,402143139,1272550041,1682621050,389387599,10287.89205,33621.65997,44456.02214
A000990,DB하이텍,44398588,2489881,41908707,1760473604,1140143654,235775198,1744921893,1022004219,221893970,5294.698546,41636.26172,24386.4412
A018880,한온시스템,533800000,131570,533668430,2417445681,9623611338,15387068,2563011412,3535916443,16265783,30.47919286,4802.628876,6625.680374
A008930,한미사이언스,68391550,677844,67713706,807932241,1276795731,120139738,507752074,191432043,36721540,542.3058664,7498.512546,2827.07969
A007070,GS리테일,104717922,1279666,103438256,4040219221,11749313332,36706031,4084951524,11010335397,-6809724,-65.83370857,39491.68984,106443.5522
A012750,에스원,37999178,4188939,33810239,1547967375,2651002618,182063485,1504791542,2611985165,177074939,5237.316986,44506.97737,77254.26505
A357780,솔브레인,7778566,35424,7743142,925659766,811747500,130938739,880472494,762916622,135149356,17454.07175,113709.9764,98528.04223
A000880,한화,74958735,1132437,73826298,10200720000,51323194000,-146265000,3440672404,7241476257,175110097,2371.920328,46604.97001,98088.03168
A112610,씨에스윈드,42171403,741922,41429481,860621738,1906390553,-26614089,865545641,335911028,17582766,424.4022753,20892.0223,8108.019215
A012510,더존비즈온,30382784,2353871,28028913,498262867,366577100,48079297,421771067,337383680,41609527,1484.521608,15047.71402,12036.98766
A000120,CJ대한통운,22812344,2867215,19945129,3440541231,11881499854,229444817,3269188755,8192021622,222259291,11143.5374,163909.1306,410727.9337
A035900,JYP Ent.,35532492,2399433,33133059,407355370,584954848,95677735,354871343,497050502,118918547,3589.120672,10710.49139,15001.64841
A030000,제일기획,115041225,13762500,101278725,1238751433,4214683895,190274931,513995485,1259667117,27637413,272.8846853,5075.058804,12437.62811
A014680,한솔케미칼,11335195,0,11335195,854767398,772275124,109001749,754700324,571264371,105088218,9270.966931,66580.26827,50397.40128
A008770,호텔신라,39248121,2135000,37113121,606887587,3797152770,31159312,534529163,2347632265,25979092,699.9975022,14402.70041,63256.12618
A020150,롯데에너지머티리얼즈,46110835,0,46110835,1441363652,887072431,-3172195,621400894,353773718,41352192,896.7998953,13476.24466,7672.247054
A028670,팬오션,534569512,0,534569512,4960742000,4340058000,192309000,4898438000,3735384000,173017000,323.6566922,9163.332158,6987.648783
A089030,테크윙,37353645,1613171,35740474,203569521,145321216,-11334035,204318906,121064664,-12624979,-353.2403907,5716.737445,3387.32676
A204320,HL만도,46957120,0,46957120,2391923859,8503687702,235928505,1910457091,2743109987,61445875,1308.552888,40685.14191,58417.33878
A005290,동진쎄미켐,51414494,0,51414494,849744033,1297883897,123919185,736351502,964974497,137286567,2670.191931,14321.86616,18768.53047
A009420,한올바이오파마,52240638,1531938,50708700,178204797,140199172,4438848,178878299,140199172,5452486,107.5256514,3527.566256,2764.795232
A026960,동서,99700000,1027477,98672523,1583912760,485816741,157887602,1583912053,447397679,157887602,1600.117208,16052.20992,4534.166812
A078600,대주전자재료,15480593,586894,14893699,161556744,193788073,7568640,157942330,141160458,8605025,577.7627841,10604.64093,9477.864297
A005850,에스엘,46448520,393058,46055462,2023115508,4873850799,361791426,1685581628,2650471005,213632358,4638.588969,36598.95167,57549.54765
A282330,BGF리테일,17283906,8891,17275015,1026472240,8299012515,191541183,986846728,8243328083,179392339,10384.49686,57125.66548,477182.1086
A240810,원익IPS,49083901,428211,48655690,844214239,653813192,-29258128,841451112,653778629,-29101251,-598.1058125,17293.99197,13436.8381
A017800,현대엘리베이,39092385,2987323,36105062,1155080920,2712056015,101636080,1156850771,1911904666,40213021,1113.777924,32041.23486,52953.9228
A237690,에스티팜,19463518,0,19463518,390042121,286068551,22026930,397462440,251860700,24658179,1266.892193,20420.89411,12940.14268
A023530,롯데쇼핑,28288755,18115,28270640,9402590901,14507579307,196038806,9356792640,8641449796,264517807,9356.626062,330972.0841,305668.7007
A007310,오뚜기,4007830,568503,3439327,1956242221,3481340125,167621760,1641971485,2898143558,127205692,36985.63469,477410.6926,842648.4478
