symbol,company,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni
A280360,롯데웰푸드,2076784574 ,4057849131 ,90979613 ,2025377392 ,3287236234 ,73330611 
A018670,SK가스,2549164186 ,6568314334 ,180778470 ,2357324001 ,4734110882 ,275445832 
A039200,오스코텍,93010026 ,4864226 ,-24445483 ,114199422 ,4289698 ,-14262196 
A139480,이마트,11640607764 ,29543571606 ,-72765235 ,10708887179 ,15217956913 ,263261971 
A293490,카카오게임즈,1432724323 ,1022202057 ,-230037189 ,1023426221 ,689755805 ,-455554055 
A073240,금호타이어,1381890034 ,4087000898 ,229390409 ,794247819 ,3129537356 ,274579219 
A010060,OCI홀딩스,3880452648 ,2794895674 ,675355471 ,2402504564 ,540108776 ,683070545 
A042670,HD현대인프라코어,1836065585 ,4529108684 ,185803942 ,1853252218 ,4060108698 ,322035228 
A004170,신세계,4341276353 ,6398409085 ,221635218 ,4186395974 ,1950561957 ,206573799 
A298050,효성첨단소재,685412465 ,3204684329 ,22707680 ,815833685 ,634672293 ,86102176 
A006360,GS건설,4332254986 ,12994917142 ,-484730716 ,4278711992 ,9309558606 ,-516448704 
A036930,주성엔지니어링,528441521 ,272611832 ,39671767 ,527454670 ,272571388 ,39878037 
A065350,신성델타테크,207897386 ,825040620 ,9778461 ,223390723 ,155399242 ,11984932 
A011210,현대위아,3432364000 ,8636878000 ,111542000 ,3192863000 ,7289711000 ,93569000 
A006280,녹십자,1261892442 ,1633971650 ,-29491443 ,1227204415 ,1211404981 ,10461202 
A000240,한국앤컴퍼니,4105859345 ,1208918361 ,268933372 ,2625530297 ,894963958 ,15931506 
A214450,파마리서치,440820401 ,280285086 ,76091929 ,443711897 ,253460315 ,76790177 
A298020,효성티앤씨,1306749441 ,7545391762 ,106897575 ,881977794 ,4464825854 ,119163956 
A009240,한샘,392455509 ,1983591098 ,946617 ,373820089 ,1509596920 ,-728652 
A000080,하이트진로,1056325501 ,2537856264 ,39905554 ,1053498188 ,2250960380 ,29073499 
A067160,SOOP,298416409 ,369845662 ,82529773 ,299801939 ,344744080 ,86793090 
A204270,제이앤티씨,394530338 ,393203405 ,47119974 ,287428485 ,147663382 ,68517200 
A033100,제룡전기,0 ,0 ,0 ,138520042 ,218519083 ,70582427 
A950160,코오롱티슈진,0 ,0 ,0 ,116359022 ,4409627 ,-17109784 
A064760,티씨케이,0 ,0 ,0 ,459852829 ,222013369 ,59881414 
A185750,종근당,825479329 ,1665725582 ,202242724 ,817074972 ,1642956578 ,199066755 
A031980,피에스케이홀딩스,349842585 ,117897850 ,52930821 ,241628623 ,101941084 ,27129048 
A161890,한국콜마,720237154 ,2242804504 ,5698140 ,640669126 ,902796834 ,24709640 
A069620,대웅제약,792100064 ,1388699360 ,114474240 ,831005190 ,1226234466 ,101857230 
A294870,HDC현대산업개발,2996659021 ,4071311494 ,162990214 ,3072616642 ,4036748440 ,161245427 
A139130,DGB금융지주,5869392885 ,4124072341 ,331555556 ,3259783985 ,2072037 ,172472436 
A112040,위메이드,198976550 ,672649238 ,-225789406 ,360373268 ,382495384 ,-106759772 
A225570,넥슨게임즈,267580186 ,193743330 ,-862435 ,266838534 ,192029790 ,-853385 
A018290,브이티,128346674 ,349415331 ,42329623 ,152145537 ,209699037 ,36442493 
A298380,에이비엘바이오,63807832 ,33102947 ,-38952386 ,64365388 ,31748824 ,-39101531 
A328130,루닛,225238015 ,19249471 ,-46023642 ,228276735 ,19249471 ,-45196885 
A003690,코리안리,3167161632 ,5229304246 ,227841821 ,3217641395 ,5125327945 ,224648619 
A067630,HLB생명과학,432134156 ,90718614 ,125454791 ,391292099 ,19838711 ,80189937 
A232140,와이씨,320664982 ,221293540 ,10026037 ,278754158 ,181669019 ,10280050 
A004490,세방전지,1340316816 ,1773521600 ,143096028 ,1320394082 ,1417961676 ,118881333 
A336260,두산퓨얼셀,511028724 ,0 ,0 ,512818084 ,242684269 ,-10223996 
A121600,나노신소재,239064542 ,87869685 ,13439174 ,238013847 ,79891816 ,14618376 
A375500,DL이앤씨,4736074943 ,8031532325 ,123934409 ,4000915846 ,5076495109 ,76730897 
A214370,케어젠,217021574 ,74987156 ,35304864 ,217021574 ,74987156 ,35304864 
A014820,동원시스템즈,773775071 ,1258343793 ,66787104 ,730116317 ,1145650851 ,54133177 
A036830,솔브레인홀딩스,1270857207 ,636458054 ,91861607 ,1004884812 ,36574917 ,-740713 
A137400,피엔티,493391476 ,645764081 ,86861541 ,473783039 ,607883098 ,77954163 
A310210,보로노이,78380007 ,0 ,-35040209 ,79053170 ,0 ,-34101984 
A086900,메디톡스,489731144 ,233034703 ,2725584 ,487255023 ,220332511 ,13868173 
A103590,일진전기,469259202 ,1287337726 ,36136452 ,464872489 ,1273777023 ,36378791 
A108320,LX세미콘,987308140 ,1838301399 ,105582830 ,975240995 ,1838301399 ,99630919 
A005300,롯데칠성,1451928797 ,3481776245 ,153592485 ,1426276745 ,2772717430 ,95705922 
A003090,대웅,986250000 ,1821843715 ,135339583 ,512154329 ,69154828 ,22003270 
A004000,롯데정밀화학,2415961346 ,1643087845 ,80118764 ,2182708121 ,1642465251 ,130579586 
A082640,동양생명,2531588349 ,1123180203 ,203745772 ,2585231081 ,1123180203 ,227735319 
A006040,동원산업,2754922772 ,8926213793 ,231603040 ,2190499373 ,1138015850 ,108783118 
A336370,솔루스첨단소재,742304843 ,437954701 ,200140420 ,666036116 ,115471614 ,243732433 
A082740,한화엔진,0 ,0 ,0 ,328815752 ,948402662 ,8782848 
A001120,LX인터내셔널,2344008266 ,14590527019 ,71984730 ,2391938485 ,3318511110 ,75019053 
A004800,효성,2436761450 ,3473124289 ,9945940 ,2468702729 ,546764654 ,13047196 
A253450,스튜디오드래곤,715819865 ,734068437 ,31885831 ,707869569 ,693654708 ,50774091 
A051980,중앙첨단소재,51120348 ,25374016 ,-51134468 ,51419332 ,25368016 ,-51597348 
A003620,KG모빌리티,1169541271 ,3653137745 ,46281755 ,1174255590 ,3677147044 ,57386165 
A457190,이수스페셜티케미컬,0 ,0 ,0 ,94770133 ,169708667 ,-6442234 
A001720,신영증권,0 ,0 ,0 ,0 ,0 ,0 
A095340,ISC,485017780 ,128916047 ,17950233 ,492035830 ,120827587 ,20194513 
A067310,하나마이크론,294338034 ,999041735 ,-35950168 ,355693283 ,627950312 ,-58426432 
A000210,DL,3924657559 ,5134556683 ,-82137950 ,3088542621 ,40275445 ,12845764 
A352480,씨앤씨인터내셔널,184104873 ,246300161 ,36152276 ,181717729 ,231910883 ,34817992 
